"id","name","slug","description","price","original_price","calories","category","image_url","ingredients","featured","in_stock"
"1","Oh My Greens","oh-my-greens","A zesty super-green blend packed with nutrients and designed to energize your day. Contains kale, spinach, apple, lemon, and cucumber.","498.00",,"80","juices","https://images.unsplash.com/photo-1610970881699-44a5587cabec?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""kale"",""spinach"",""apple"",""lemon"",""cucumber""]","true","true"
"2","Rise and Shine","rise-and-shine","Eye-opening blend of carrots, oranges, apple and lemon designed to promote eye health and provide natural energy.","398.00",,"130","juices","https://images.unsplash.com/photo-1600271886742-f049cd451bba?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""carrots"",""oranges"",""apple"",""lemon""]","true","true"
"3","Immune Shot","immune-shot","Healthful, invigorating kick with ginger, turmeric and apple to boost immunity and provide natural wellness support.","198.00",,"34","shots","https://glassmania.com/media/wysiwyg/Couverture-Ginger-shot.jpg","[""ginger"",""turmeric"",""apple""]","true","true"
"4","Lovely Red","lovely-red","Vibrant blend of beets, cucumber, apple with refreshing taste and powerful nutrients for cardiovascular health.","458.00",,"100","juices","https://images.unsplash.com/photo-1618897996318-5a901fa6ca71?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""beets"",""cucumber"",""apple""]","false","true"
"5","Pink Dragon","pink-dragon","Dragon fruit, pineapple, banana with almond milk base for tropical refreshment and antioxidant power.","378.00",,"180","smoothies","https://images.unsplash.com/photo-1553530666-ba11a7da3888?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""dragon fruit"",""pineapple"",""banana"",""almond milk""]","false","true"
"6","Ever Green","ever-green","Mango, pineapple, kale, spinach and figs with almond milk base for the perfect green smoothie experience.","418.00",,"150","smoothies","https://images.unsplash.com/photo-1638176066666-ffb2f013c7dd?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""mango"",""pineapple"",""kale"",""spinach"",""figs"",""almond milk""]","false","true"
"7","3-Day Juice Cleanse","3-day-juice-cleanse","Complete 3-day detox with 22 bottles of fresh juices for full body cleansing and rejuvenation.","4998.00","6198.00",,"cleanses","https://images.unsplash.com/photo-1622597467836-f3285f2131b8?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""fresh cold-pressed juices""]","true","true"
"8","Vegan Protein Shake","vegan-protein-shake","Protein in chocolate or vanilla flavor with bananas and almond milk base for post-workout nutrition.","498.00",,"220","smoothies","https://i0.wp.com/laurenvacula.com/wp-content/uploads/2022/07/IMG_4993-2.jpg?resize=768%2C1024&ssl=1","[""plant protein"",""bananas"",""almond milk""]","true","true"
"9","Mean Green","mean-green","Robust blend of parsley, celery, cucumber, cilantro, apple and lemon packed with nutrients and health benefits.","438.00",,"60","juices","https://images.unsplash.com/photo-1610970881699-44a5587cabec?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""parsley"",""celery"",""cucumber"",""cilantro"",""apple"",""lemon""]","false","true"
"10","Cool as a Cucumber","cool-as-a-cucumber","Refreshing mix of cucumber, orange, apple and lemon designed to lower blood pressure and promote healthy digestion.","358.00",,"100","juices","https://images.unsplash.com/photo-1622597467836-f3285f2131b8?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""cucumber"",""orange"",""apple"",""lemon""]","false","true"
"11","Island Breeze Smoothie","island-breeze-smoothie","Tropical smoothie with strawberries, pineapple, bananas and almond milk base for a taste of paradise.","338.00",,"160","smoothies","https://images.unsplash.com/photo-1553530666-ba11a7da3888?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""strawberries"",""pineapple"",""bananas"",""almond milk""]","false","true"
"12","1-Day Juice Cleanse","1-day-juice-cleanse","Perfect introduction to cleansing with 8 bottles of fresh juices for a gentle one-day reset.","2198.00","2598.00",,"cleanses","https://images.unsplash.com/photo-1622597467836-f3285f2131b8?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300","[""fresh cold-pressed juices""]","false","true"